nickname,canonical_name
ab,abraham
abbe,abbigail
abbey,abbigail
abbi,abbigail
abbie,abbigail
abby,abbigail
abe,abraham
ada,andriane
addie,adrienne
addy,adelaide
adele,adelaide
adie,adelaide
adina,adena
ado,adolphus
adolph,adolphus
adri,andriane
aga,agatha
aggy,augustina
al,alexander
alan,allan
albert,adelbert
alec,alexander
alek,aleksandr
alen,jalen
alex,alexandria
alexander,alexandria
alfy,alfreda
algy,algernon
ali,allisandra
aline,adeline
alix,alixandra
alla,alexandria
allen,allan
allie,allisandra
ally,allisandra
alphus,alphinias
amabel,mabel
amelia,parmelia
amos,moses
amy,amelia
ana,anastasia
ance,anselm
andi,andrea
andrew,andrea
andy,anderson
angel,angelica
angelika,angelica
angelique,angelica
angie,angelica
ann,antoinette
anna,savannah
anne,anna
annie,stephanie
anse,anselm
ansel,anselm
ant,anthony
app,absalom
appie,appoline
appy,appoline
ara,arabella
archie,archibald
ari,ariadne
arie,ariadne
arilla,cinderella
arly,arlene
armida,araminta
arnie,arnold
arry,arabella
art,artemus
asa,asahel
ash,ashley
ashly,ashley
assene,asenath
athy,eighta
audree,audrey
august,augustine
aurilla,aurelia
austin,augustine
aze,azariah
bab,barbara
babs,barbara
barbery,barbara
barbie,barbara
barby,barbara
barney,barnabas
barrett,garrett
bart,bartholomew
bartel,bartholomew
basil,bazaleel
bat,bartholomew
bea,beatrice
becca,rebecca
beck,rebecca
becky,rebecca
beda,obedience
bedney,abednego
beedy,obedience
bela,william
bell,william
bella,isabella
belle,rosabella
ben,benedict
benjy,benjamin
bennie,benedict
benny,benjamin
berney,bernard
bernie,bernard
berny,bernard
berry,littleberry
bert,elbertson
bertie,alberta
bess,elizabeth
bessie,elizabeth
beth,elizabeth
betsy,elizabeth
betty,elizabeth
bev,beverly
bias,tobias
biddie,obedience
biddy,bridget
bige,abijah
bill,william
billiewilhelm,wilma
billy,robert
birdie,roberta
birtie,roberta
bo,boetius
bob,robert
bobbie,barbara
bobby,robert
brad,bradford
brady,broderick
brandy,brenda
bree,breeanna
bri,breanna
briana,bryanna
bridgie,bridget
bridgit,bedelia
bridie,bridget
brina,sabrina
britt,brittany
brittnie,brittany
brody,broderick
brose,ambrose
bryan,brian
bryanna,brianna
bryant,brian
buren,vanburen
burt,egbert
c cathy,cathleen
cage,micajah
cait,caitlin
caity,caitlin
cal,calvin
cali,kalli
callie,california
calliedona,caldonia
cally,calpurnia
cam,campbell
cammie,camille
candy,candace
carl,carlton
carly,carla
carm,carmon
carol,caroline
carole,carolann
carri,carol
carrie,caroline
casey,catherine
cass,cassidy
cassie,cassandra
cathy,catherine
ced,cedric
celia,cecilia
cene,cyrenius
cenia,laodicia
chan,chauncey
char,charlotte
charlie,charles
charm,carmon
chat,charity
chelle,michelle
chelsie,chelsey
cher,cheryl
cheri,sheryl
cherie,sheryl
chet,chesley
chick,charles
chris,christopher
chrissy,christina
christy,christiana
chuck,charles
cilla,priscilla
cille,lucille
cindy,cinderella
cintha,cynthia
cissy,priscilla
claas,nicholas
claes,nicholas
clair,clarence
clara,clarissa
clare,clarence
claud,claudia
cleat,cleatus
clem,clementine
clement,clementine
cliff,clifford
clo,chloe
clum,columbus
coco,corey
cole,nicholette
colie,cole
con,cornelius
connie,constance
conny,cornelius
cora,corinne
cordy,cordelia
cornie,cornelia
corny,cornelius
court,courtney
crate,socrates
creasey,lucretia
crissy,christiana
crys,crystal
curg,lecurgus
curt,courtney
cy,onicyphorous
cyphorus,onicyphorous
dacey,candace
dacia,daycia
dahl,dalton
daisha,daycia
daisy,margaretta
dal,dalton
dan,sheridan
dani,danielle
dann,daniel
danny,sheridan
daph,daphne
daphie,daphne
darkey,dorcus
darry,darlene
dave,david
davey,david
day,david
dea,demerias
deb,deborah
debbie,deborah
debby,deborah
debra,debbie
dee,delores
deedee,deidre
deena,adena
del,adelbert
delbert,adelbert
delf,delphine
delia,fidelia
delius,delia
dell,adelaide
della,deliverance
delly,deliverance
delpha,philadelphia
delphi,delphine
delphia,philadelphia
dena,adena
dennie,dennis
dennis,dennison
denny,dennison
derick,frederick
derrek,derek
di,diana
diah,jedediah
dian,diane
dianne,diane
dicey,eurydice
dicie,dicey
dick,richard
dickie,richard
dickon,richard
dicky,richard
dicy,laodicia
didi,diana
dilly,deliverance
dina,geraldine
dite,epaphroditius
ditus,epaphroditius
dob,robert
dobbin,robert
doda,dorothea
dolly,dorothy
dolph,rudolphus
dom,dominick
don,donovan
dona,donna
donnie,donovan
donny,donovan
dony,donovan
dora,dorothea
dorinda,dorothea
dortha,dorothy
dosia,theodosia
dosie,eudoris
dossie,eudoris
dot,dorothy
dottie,dorothy
dotty,dorothy
doug,douglas
dre,sondra
drea,andrea
drew,woodrow
drina,alexandria
dunk,duncan
dutch,herman
duty,deuteronomy
dyce,epaphroditius
dyche,epaphroditius
dyer,jedediah
earnest,ernestine
eb,ebenezer
ebbie,ebenezer
eben,ebenezer
ed,eduardo
eddie,eduardo
eddy,eduardo
edie,edythe
edny,edna
edwin,edwina
edye,edythe
effie,euphemia
effy,euphemia
el,ella
elaine,eleanor
elbert,elbertson
elenor,leonore
eli,elijah
eliza,elizabeth
ella,gabriella
ellen,ellender
ellie,danielle
elly,elmira
eloise,heloise
elsey,ellswood
elsie,alicia
elvie,elvira
em,emeline
emily,emeline
emma,emeline
emmanuel,immanuel
emmy,emeline
enne,adrienne
eph,ephraim
eppa,epaphroditius
epsey,artelepsa
eric,derrick
erica,frederica
erick,frederick
ericka,fredericka
erika,frederica
erin,aaron
erna,ernestine
ernest,ernestine
ernie,earnest
es,essy
essa,vanessa
essie,esther
essy,estella
etta,carthaette
etty,carthaette
ev,evangeline
eva,evaline
evan,evangeline
eve,genevieve
evelina,evelyn
exie,experience
ez,ezekiel
fal,fallon
falcon,fallon
fall,fallon
fallie,fallon
fally,fallon
falon,fallon
fanny,frances
farmboy,westley
fate,lafayette
fay,faith
fel,felicia
feli,felicia
felix,felicia
felty,valentina
ferbie,pheriba
ferdie,ferdinando
fie,philander
field,winfield
fifi,phoebe
fina,josephine
fiona,fionna
flick,felicity
flo,florence
flora,florence
flossy,florence
ford,bradford
fran,franklind
francie,francine
frank,franklind
frankie,frances
franky,veronica
frannie,francine
franniey,francine
franny,francine
fred,ferdinando
freda,fredericka
freddie,ferdinand
freddy,fredericka
frederick,frederica
frieda,fredericka
fritz,frederick
frona,sophronia
fronia,sophronia
frony,veronica
gabby,gabriella
gabe,gabriel
gail,abbigail
gare,garrett
garratt,garrett
garret,garrett
garri,garrick
garry,garrett
gary,garrett
gatsy,augustina
gay,gerhardt
gee,jehu
gene,eugene
geoff,geoffrey
george,georgine
georgia,georgiana
georgie,george
geri,jerry
gerri,geraldine
gerrie,geraldine
gerry,geraldine
gert,gertrude
gertie,gertrude
gil,gilbert
gina,regina
ginger,virginia
ginny,virginia
gio,giovanni
